Species__,Time______,TFactor,St_Dev,,___spt,___est,N>0.00,N>0.98
S1        ,2000      ,   0.337,  0.010,   1338, 1338.0, 1338.0,   4445,    297
S10       ,2000      ,   0.254,  0.046,     35,   35.0,   35.0,    154,      4
S100      ,2000      ,   0.161,  0.047,     13,   13.0,   13.0,     80,      0
S101      ,2000      ,   0.434,  0.009,   2798, 2798.0, 2798.0,   4855,   1366
S102      ,2000      ,   0.293,  0.019,    272,  272.0,  272.0,    962,     80
S103      ,2000      ,   0.518,  0.010,   3657, 3657.0, 3657.0,   5001,   2112
S104      ,2000      ,   0.440,  0.010,   2606, 2606.0, 2606.0,   4654,   1345
S105      ,2000      ,   0.285,  0.019,    238,  238.0,  238.0,   1391,     25
S106      ,2000      ,   0.339,  0.014,    692,  692.0,  692.0,   2194,    269
S107      ,2000      ,   0.353,  0.035,    117,  117.0,  117.0,    471,     20
S108      ,2000      ,   0.153,  0.036,     20,   20.0,   20.0,    129,      9
S109      ,2000      ,   0.268,  0.024,    131,  131.0,  131.0,    745,     22
S11       ,2000      ,   0.345,  0.274,      2,    2.0,    2.0,     16,      0
S110      ,2000      ,   0.228,  0.023,    109,  109.0,  109.0,    678,     31
S111      ,2000      ,   0.497,  0.011,   2934, 2934.0, 2934.0,   4586,   1622
S112      ,2000      ,   0.384,  0.046,     79,   79.0,   79.0,    510,      5
S113      ,2000      ,   0.358,  0.012,    982,  982.0,  982.0,   3356,    257
S114      ,2000      ,   0.308,  0.023,    192,  192.0,  192.0,   1195,     11
S115      ,2000      ,   0.393,  0.019,    527,  527.0,  527.0,   1371,    179
S116      ,2000      ,   0.159,  0.075,      5,    5.0,    5.0,     32,      0
S117      ,2000      ,   1.251,  0.038,   5127, 5127.0, 5127.0,   5279,   3553
S118      ,2000      ,   0.157,  0.054,      9,    9.0,    9.0,    104,      0
S119      ,2000      ,   0.276,  0.036,     67,   67.0,   67.0,    229,     15
S12       ,2000      ,   0.315,  0.015,    472,  472.0,  472.0,   2364,     84
S120      ,2000      ,   0.316,  0.016,    437,  437.0,  437.0,   2249,     56
S121      ,2000      ,   0.362,  0.026,    223,  223.0,  223.0,    694,     76
S122      ,2000      ,   0.746,  0.015,   4587, 4587.0, 4587.0,   5253,   3223
S123      ,2000      ,   0.185,  0.087,      5,    5.0,    5.0,     54,      0
