"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
4952,1,94,0.778,0.74,46.87,0.74,92.5,82.8,3
5052,2,107,0.779,0.73,46.84,0.74,92.6,82.8,3
5053,3,95,0.778,0.73,46.55,0.74,92.5,82.8,3
5056,4,87,0.775,0.76,45.78,0.74,92.2,83.3,3
5057,5,98,0.774,0.77,45.42,0.74,92.1,83.5,3
5151,6,79,0.78,0.73,45.87,0.74,92.9,82.9,3
5152,7,113,0.78,0.73,46.05,0.74,92.8,82.7,3
5153,8,108,0.779,0.73,45.9,0.74,92.7,82.7,3
5154,9,71,0.778,0.73,45.93,0.74,92.7,82.9,3
5155,10,106,0.777,0.74,45.57,0.74,92.6,83.1,3
5156,11,78,0.776,0.75,44.94,0.74,92.4,83.3,3
5157,12,66,0.774,0.77,44.54,0.74,92.2,83.6,3
5158,13,75,0.771,0.79,44.53,0.74,91.9,84.1,2
5248,14,59,0.778,0.75,42.22,0.74,93.3,84,3
5249,15,83,0.78,0.74,43.12,0.74,93.3,83.5,3
5250,16,98,0.781,0.73,44.12,0.74,93.3,83.1,3
5251,17,89,0.781,0.73,45.44,0.74,93.2,83,2
5252,18,107,0.781,0.72,45.74,0.74,93.1,82.8,3
5253,19,85,0.78,0.72,45.62,0.74,93,82.8,3
5254,20,126,0.779,0.73,44.95,0.74,92.8,82.8,3
5255,21,59,0.778,0.74,44.48,0.74,92.7,83,3
5256,22,77,0.776,0.75,44.27,0.74,92.6,83.5,3
5257,23,98,0.774,0.77,43.82,0.74,92.3,83.8,3
5258,24,85,0.771,0.79,43.88,0.74,92,84.3,3
5259,25,89,0.768,0.81,43.68,0.74,91.6,84.7,2
5260,26,88,0.766,0.83,43.02,0.74,91.4,85,2
5346,27,96,0.767,0.82,40.19,0.74,92,85.5,3
5347,28,103,0.772,0.79,40.57,0.74,92.7,85,3
5348,29,104,0.776,0.77,42.12,0.74,93.2,84.7,3
5349,30,118,0.779,0.74,42.54,0.74,93.5,84,3
5350,31,80,0.782,0.73,43.08,0.74,93.7,83.4,3
5351,32,78,0.783,0.72,44.03,0.74,93.7,83,2
5352,33,124,0.782,0.72,44.61,0.74,93.5,82.9,3
5353,34,126,0.781,0.72,44.86,0.74,93.3,82.8,3
5354,35,114,0.78,0.73,44.9,0.74,93.2,83,3
5355,36,63,0.778,0.74,44.18,0.74,93,83.3,3
5356,37,103,0.775,0.75,43.12,0.74,92.6,83.6,3
5357,38,97,0.772,0.78,43.12,0.74,92.4,84.1,3
5358,39,55,0.769,0.8,42.89,0.74,91.9,84.7,3
5359,40,112,0.766,0.82,43.13,0.74,91.6,85.2,2
5360,41,94,0.764,0.84,42.87,0.74,91.5,85.6,2
5361,42,116,0.762,0.85,42.07,0.74,91.5,86,3
