"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter gentilis",1985,1.791,0.109,577,577,577,628,2
"Alauda arvensis",1985,1.785,0.443,627,627,626.1,628,444
"Hippolais icterina",1985,1.554,0.098,586,586,586,628,30
"Hirundo rustica",1985,1.786,0.547,628,628,626.8,628,545
"Ixobrychus minutus",1985,2.55,0.33,61,61,61,628,0
"Jynx torquilla",1985,2.124,0.116,409,409,409,628,0
"Lanius collurio",1985,1.601,0.197,621,621,620.9,628,230
"Lanius excubitor",1985,2.298,0.13,430,430,430,628,0
"Lanius minor",1985,46.093,19.716,6,6,6,86,0
"Lanius senator",1985,4.669,1.794,7,7,7,262,0
"Larus cachinnans",1985,2.612,1.197,5,5,5,129,0
"Larus canus",1985,2.087,0.678,10,10,10,156,0
"Alcedo atthis",1985,1.945,0.106,398,398,398,628,0
"Larus melanocephalus",1985,3.356,1.703,4,4,4,194,0
"Larus ridibundus",1985,1.982,0.118,332,332,332,628,0
"Limosa limosa",1985,4.178,0.651,44,44,44,583,0
"Locustella fluviatilis",1985,1.914,0.104,450,450,450,628,0
"Locustella luscinioides",1985,2.701,0.282,97,97,97,628,0
"Locustella naevia",1985,1.96,0.105,498,498,498,628,0
"Loxia curvirostra",1985,1.753,0.097,402,402,402,628,0
"Lullula arborea",1985,1.679,0.135,164,164,164,628,0
"Luscinia luscinia",1985,4.347,1.669,7,7,7,173,0
"Luscinia megarhynchos",1985,1.776,0.12,254,254,254,628,0
"Anas acuta",1985,2.744,0.876,10,10,10,454,0
"Luscinia svecica",1985,2.551,0.39,44,44,44,611,0
"Mergus merganser",1985,1.731,0.716,6,6,6,336,0
"Merops apiaster",1985,9.685,2.636,14,14,14,264,0
"Miliaria calandra",1985,1.293,0.113,137,137,137,628,0
"Milvus migrans",1985,3.496,0.395,81,81,81,628,0
"Milvus milvus",1985,2.226,0.228,104,104,104,601,0
"Motacilla alba",1985,1.729,0.35,626,626,625.4,628,390
"Motacilla cinerea",1985,1.461,0.09,560,560,560,628,0
"Motacilla flava",1985,1.786,0.131,201,201,201,628,0
"Muscicapa striata",1985,1.723,0.099,555,555,555,628,0
"Anas clypeata",1985,2.131,0.188,134,134,134,628,0
"Netta rufina",1985,7.657,1.514,27,27,27,345,0
"Nucifraga caryocatactes",1985,1.702,0.103,316,316,316,628,0
"Numenius arquata",1985,6.03,1.339,21,21,21,331,0
"Nycticorax nycticorax",1985,10.375,2.163,24,24,24,361,0
"Oenanthe oenanthe",1985,1.855,0.136,197,197,197,628,0
"Oriolus oriolus",1985,2.12,0.118,431,431,431,628,0
"Otis tarda",1985,NA,NA,2,2,NA,0,0
"Otus scops",1985,NA,NA,2,2,NA,0,0
"Panurus biarmicus",1985,2.459,0.44,32,32,32,555,0
"Parus ater",1985,1.582,0.104,583,583,583,628,2
"Anas crecca",1985,1.919,0.129,240,240,240,628,0
"Parus caeruleus",1985,1.812,0.29,624,624,623.7,628,304
"Parus cristatus",1985,1.581,0.09,535,535,535,628,0
"Parus major",1985,1.721,0.417,627,627,626.2,628,476
"Parus montanus",1985,1.851,0.1,425,425,425,628,0
"Parus palustris",1985,1.699,0.097,555,555,555,628,0
"Passer domesticus",1985,1.693,0.338,626,626,625.4,628,399
"Passer montanus",1985,1.814,0.144,605,605,605,628,67
"Perdix perdix",1985,1.891,0.11,530,530,530,628,0
"Pernis apivorus",1985,2.263,0.132,333,333,333,628,0
"Phalacrocorax carbo",1985,4.014,0.698,34,34,34,549,0
"Anas platyrhynchos",1985,1.851,0.155,595,595,595,628,99
"Phasianus colchicus",1985,1.671,0.115,584,584,584,628,82
"Phoenicurus ochruros",1985,1.786,0.547,628,628,626.8,628,545
"Phoenicurus phoenicurus",1985,1.623,0.096,564,564,564,628,6
"Phylloscopus collybita",1985,1.605,0.27,624,624,623.7,628,474
"Phylloscopus sibilatrix",1985,1.829,0.103,557,557,557,628,0
"Phylloscopus trochiloides",1985,1.52,0.543,8,8,8,369,0
"Phylloscopus trochilus",1985,1.452,0.143,616,616,616,628,212
"Pica pica",1985,1.829,0.119,589,589,589,628,9
"Picoides tridactylus",1985,24.844,4.175,38,38,38,260,0
"Picus canus",1985,1.918,0.103,428,428,428,628,0
"Anas querquedula",1985,2.024,0.151,188,188,188,628,0
"Picus viridis",1985,1.858,0.106,564,564,564,628,0
"Platalea leucorodia",1985,NA,NA,3,3,NA,0,0
"Podiceps cristatus",1985,2.141,0.122,375,375,375,628,0
"Podiceps grisegena",1985,1.662,0.367,21,21,21,553,0
"Podiceps nigricollis",1985,2.333,0.163,219,219,219,628,0
"Porzana parva",1985,3.014,1.088,8,8,8,376,0
"Porzana porzana",1985,2.706,0.36,58,58,58,628,0
"Prunella collaris",1985,0.631,0.284,5,5,5,294,0
"Prunella modularis",1985,1.739,0.132,603,603,603,628,35
