"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
4952,1,94,0.778,2.98,46.87,0.88,92.5,123.4,4
5052,2,107,0.779,2.94,46.84,0.88,92.6,123.1,4
5053,3,95,0.778,3,46.55,0.88,92.5,123.7,4
5056,4,87,0.775,3.15,45.78,0.88,92.2,124.8,3
5057,5,98,0.774,3.18,45.42,0.88,92.1,125,3
5151,6,79,0.78,2.8,45.87,0.88,92.9,122.1,4
5152,7,113,0.78,2.89,46.05,0.88,92.8,122.7,4
5153,8,108,0.779,2.97,45.9,0.88,92.7,123.4,4
5154,9,71,0.778,3.03,45.93,0.88,92.7,124,3
5155,10,106,0.777,3.09,45.57,0.88,92.6,124.5,3
5156,11,78,0.776,3.14,44.94,0.88,92.4,124.9,3
5157,12,66,0.774,3.17,44.54,0.88,92.2,125.1,3
5158,13,75,0.771,3.2,44.53,0.88,91.9,125.5,4
5248,14,59,0.778,2.65,42.22,0.88,93.3,121.3,6
5249,15,83,0.78,2.66,43.12,0.88,93.3,121.1,5
5250,16,98,0.781,2.69,44.12,0.88,93.3,121.2,5
5251,17,89,0.781,2.74,45.44,0.88,93.2,121.7,5
5252,18,107,0.781,2.82,45.74,0.88,93.1,122.4,4
5253,19,85,0.78,2.91,45.62,0.88,93,123.2,4
5254,20,126,0.779,3,44.95,0.88,92.8,123.9,4
5255,21,59,0.778,3.07,44.48,0.88,92.7,124.4,3
5256,22,77,0.776,3.13,44.27,0.88,92.6,125,3
5257,23,98,0.774,3.18,43.82,0.88,92.3,125.4,3
5258,24,85,0.771,3.22,43.88,0.88,92,125.8,4
5259,25,89,0.768,3.26,43.68,0.88,91.6,126,4
5260,26,88,0.766,3.28,43.02,0.88,91.4,126.3,4
5346,27,96,0.767,2.77,40.19,0.88,92,122.2,6
5347,28,103,0.772,2.7,40.57,0.88,92.7,121.9,6
5348,29,104,0.776,2.66,42.12,0.88,93.2,121.7,6
5349,30,118,0.779,2.64,42.54,0.88,93.5,121.4,6
5350,31,80,0.782,2.63,43.08,0.88,93.7,121.2,5
5351,32,78,0.783,2.67,44.03,0.88,93.7,121.4,5
5352,33,124,0.782,2.75,44.61,0.88,93.5,122.1,4
