Location,Loc_no,No_spp,Phi_in,Alpha,Wgt_n2,Phi_out,Spnum_in,Spnum_out,Iter
4952      ,      1,     94,  0.882,  3.42,   4.72,  0.940,      97.5,     116.2,    3
5052      ,      2,    107,  0.873,  3.60,   5.40,  0.940,      97.9,     118.8,    4
5053      ,      3,     95,  0.889,  3.41,   4.60,  0.940,      98.6,     116.5,    3
5056      ,      4,     87,  0.852,  3.30,   4.00,  0.940,      90.3,     110.9,    8
5057      ,      5,     98,  0.830,  3.64,   4.58,  0.940,      88.1,     112.3,   13
5151      ,      6,     79,  0.869,  3.23,   4.87,  0.940,      98.4,     118.4,    6
5152      ,      7,    113,  0.869,  3.51,   5.45,  0.940,      98.4,     119.7,    6
5153      ,      8,    108,  0.872,  3.51,   5.39,  0.940,      99.4,     120.4,    6
5154      ,      9,     71,  0.871,  4.08,   4.21,  0.940,      98.5,     121.5,    3
5155      ,     10,    106,  0.837,  4.65,   3.92,  0.940,      89.8,     118.3,   12
5156      ,     11,     78,  0.837,  3.38,   4.54,  0.940,      89.2,     111.6,   19
5157      ,     12,     66,  0.829,  3.67,   4.59,  0.940,      87.8,     112.5,   12
5158      ,     13,     75,  0.820,  4.22,   4.37,  0.940,      83.9,     110.7,   13
5248      ,     14,     59,  0.837,  8.79,   3.78,  0.940,      79.5,     116.1,    3
5249      ,     15,     83,  0.836,  6.74,   4.21,  0.940,      78.1,     110.7,    8
5250      ,     16,     98,  0.841,  8.68,   4.62,  0.940,      83.0,     120.4,    6
5251      ,     17,     89,  0.860,  4.76,   3.76,  0.940,      94.2,     121.7,    5
5252      ,     18,    107,  0.863,  3.42,   4.42,  0.940,      99.3,     121.6,   12
5253      ,     19,     85,  0.870,  2.79,   4.31,  0.940,     102.0,     120.2,   20
5254      ,     20,    126,  0.850,  3.38,   3.64,  0.940,      93.9,     116.6,   69
5255      ,     21,     59,  0.827,  4.41,   3.64,  0.940,      86.8,     114.8,    9
5256      ,     22,     77,  0.824,  3.76,   4.30,  0.940,      88.4,     114.5,   73
5257      ,     23,     98,  0.812,  6.52,   4.72,  0.940,      78.3,     112.9,   11
5258      ,     24,     85,  0.839,  8.31,   4.54,  0.940,      78.2,     113.1,    7
5259      ,     25,     89,  0.863,  9.14,   4.26,  0.940,      81.4,     114.1,    4
5260      ,     26,     88,  0.880,  4.07,   4.23,  0.940,      84.5,     103.5,    4
5346      ,     27,     96,  0.835,  4.29,   4.32,  0.940,      90.4,     117.3,    9
5347      ,     28,    103,  0.823,  5.66,   4.83,  0.940,      88.7,     123.1,    8
5348      ,     29,    104,  0.819,  7.91,   4.80,  0.940,      83.9,     124.8,    5
5349      ,     30,    118,  0.831,  9.75,   3.91,  0.940,      81.7,     121.8,    3
5350      ,     31,     80,  0.856,  4.14,   3.66,  0.940,      88.5,     112.0,    7
