Species__,Time______,TFactor,St_Dev,,___spt,___est,N>0.00,N>0.98
S1        ,1985      ,   0.753,  0.046,    577,  577.0,  577.0,    628,    420
S10       ,1985      ,   2.018,  0.624,    627,  627.0,  625.8,    628,    438
S100      ,1985      ,   0.809,  0.052,    586,  586.0,  586.0,    628,    422
S101      ,1985      ,   2.184,  0.856,    628,  628.0,  626.4,    628,    438
S102      ,1985      ,   0.379,  0.051,     61,   61.0,   61.0,    329,      1
S103      ,1985      ,   0.459,  0.026,    409,  409.0,  409.0,    626,    185
S104      ,1985      ,   1.451,  0.194,    621,  621.0,  620.9,    628,    438
S105      ,1985      ,   0.516,  0.030,    430,  430.0,  430.0,    621,    227
S106      ,1985      ,   0.832,  0.465,      6,    6.0,    6.0,     24,      0
S107      ,1985      ,   0.369,  0.153,      7,    7.0,    7.0,     57,      0
S108      ,1985      ,   0.215,  0.107,      5,    5.0,    5.0,     31,      0
S109      ,1985      ,   0.293,  0.101,     10,   10.0,   10.0,     55,      0
S11       ,1985      ,   0.421,  0.024,    398,  398.0,  398.0,    628,    188
S110      ,1985      ,   0.371,  0.201,      4,    4.0,    4.0,     33,      0
S111      ,1985      ,   0.419,  0.026,    332,  332.0,  332.0,    614,    146
S112      ,1985      ,   0.359,  0.059,     44,   44.0,   44.0,    199,      4
S113      ,1985      ,   0.496,  0.028,    450,  450.0,  450.0,    624,    259
S114      ,1985      ,   0.401,  0.044,     97,   97.0,   97.0,    384,      7
S115      ,1985      ,   0.518,  0.028,    498,  498.0,  498.0,    628,    320
S116      ,1985      ,   0.443,  0.025,    402,  402.0,  402.0,    623,    223
S117      ,1985      ,   0.317,  0.026,    164,  164.0,  164.0,    572,     39
S118      ,1985      ,   0.360,  0.143,      7,    7.0,    7.0,     65,      0
S119      ,1985      ,   0.384,  0.027,    254,  254.0,  254.0,    567,    103
S12       ,1985      ,   0.376,  0.127,     10,   10.0,   10.0,     88,      0
S120      ,1985      ,   0.370,  0.060,     44,   44.0,   44.0,    224,      3
S121      ,1985      ,   0.291,  0.127,      6,    6.0,    6.0,     55,      0
S122      ,1985      ,   0.381,  0.113,     14,   14.0,   14.0,     87,      2
S123      ,1985      ,   0.349,  0.032,    137,  137.0,  137.0,    446,     33
S124      ,1985      ,   0.472,  0.056,     81,   81.0,   81.0,    364,      6
S125      ,1985      ,   0.448,  0.049,    104,  104.0,  104.0,    335,     14
S126      ,1985      ,   1.878,  0.470,    626,  626.0,  625.2,    628,    438
S127      ,1985      ,   0.724,  0.044,    560,  560.0,  560.0,    628,    392
S128      ,1985      ,   0.350,  0.026,    201,  201.0,  201.0,    589,     41
S129      ,1985      ,   0.669,  0.039,    555,  555.0,  555.0,    628,    391
S13       ,1985      ,   0.382,  0.035,    134,  134.0,  134.0,    483,     19
S130      ,1985      ,   0.499,  0.106,     27,   27.0,   27.0,    120,      0
S131      ,1985      ,   0.424,  0.027,    316,  316.0,  316.0,    558,    170
