"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Accipiter cooperii",2000,0.481,0.013,1338,1338,1338,5279,0
"Ammodramus maritimus",2000,0.27,0.046,35,35,35,345,0
"Egretta tricolor",2000,0.21,0.059,13,13,13,279,0
"Empidonax alnorum",2000,0.517,0.011,2798,2798,2798,5151,192
"Empidonax flaviventris",2000,0.33,0.021,272,271.7,271.7,2145,0
"Empidonax minimus",2000,0.571,0.011,3657,3656.4,3656.4,5197,744
"Empidonax traillii",2000,0.524,0.011,2606,2606,2606,5271,439
"Empidonax virescens",2000,0.456,0.03,238,238,238,3486,0
"Eremophila alpestris",2000,0.475,0.019,692,692,692,4219,0
"Euphagus carolinus",2000,0.378,0.035,117,117,117,1182,0
"Falcipennis canadensis",2000,0.185,0.042,20,20,20,591,0
"Falco columbarius",2000,0.343,0.03,131,131,131,2368,0
"Ammodramus nelsoni",2000,1.056,0.757,2,2,2,91,0
"Falco peregrinus",2000,0.318,0.031,109,108,108,2502,0
"Falco sparverius",2000,0.537,0.011,2934,2933,2933,5279,291
"Fulica americana",2000,0.616,0.07,79,79,79,2391,0
"Gallinago delicata",2000,0.447,0.015,982,982,982,5054,47
"Gallinula chloropus",2000,0.461,0.034,192,192,192,3696,0
"Gavia immer",2000,0.407,0.019,527,526.4,526.4,2489,63
"Gelochelidon nilotica",2000,0.269,0.122,5,5,5,192,0
"Geothlypis trichas",2000,1.335,0.043,5127,5127,5126.9,5279,3350
"Grus canadensis",2000,0.207,0.069,9,9,9,934,0
"Haematopus palliatus",2000,0.313,0.039,67,66.4,66.4,344,0
"Ammodramus savannarum",2000,0.457,0.021,472,472,472,4768,0
"Haliaeetus leucocephalus",2000,0.445,0.022,437,436.4,436.4,5063,0
"Helmitheros vermivorum",2000,0.526,0.037,223,223,223,1756,0
"Hirundo rustica",2000,0.731,0.015,4587,4586.4,4586.5,5279,3026
"Hydropogne caspia",2000,0.273,0.123,5,5,5,560,0
"Hylocichla mustelina",2000,0.649,0.012,4388,4388,4388,5279,2936
"Icteria virens",2000,0.368,0.071,27,27,27,1465,0
"Icterus galbula",2000,0.689,0.014,4238,4238,4238,5237,2597
"Icterus spurius",2000,0.384,0.021,383,383,383,3868,20
"Ixobrychus exilis",2000,0.452,0.04,129,129,129,3471,0
"Junco hyemalis",2000,0.56,0.012,2813,2813,2813,5024,713
"Anas acuta",2000,1.049,0.337,10,10,10,661,0
"Lanius ludovicianus",2000,0.39,0.196,4,4,4,358,0
"Larus argentatus",2000,0.31,0.021,234,233.4,233.4,2619,0
"Larus delawarensis",2000,0.474,0.087,31,31,31,949,0
"Larus marinus",2000,0.231,0.029,66,65.4,65.4,1429,0
"Laterallus jamaicensis",2000,3.574,3.598,1,1,1,231,0
"Leucophaeus atricilla",2000,0.177,0.073,6,6,6,269,0
"Lophodytes cucullatus",2000,0.474,0.017,808,808,808,5026,0
"Loxia curvirostra",2000,0.309,0.034,83,83,83,2431,0
"Loxia leucoptera",2000,0.297,0.02,236,236,236,2805,2
"Megaceryle alcyon",2000,0.527,0.01,3567,3567,3567,5279,255
"Anas americana",2000,0.465,0.1,22,22,22,862,0
"Megascops asio",2000,0.491,0.015,1127,1127,1127,5129,8
"Melanerpes carolinus",2000,0.581,0.015,2159,2159,2159,4490,785
"Melanerpes erythrocephalus",2000,0.344,0.027,167,167,167,3602,0
"Meleagris gallopavo",2000,0.518,0.01,3615,3615,3615,5279,599
"Melospiza georgiana",2000,0.574,0.011,3051,3051,3051,5279,284
"Melospiza lincolnii",2000,0.293,0.019,239,239,239,1565,0
"Melospiza melodia",2000,1.314,0.041,5121,5121,5120.9,5279,3350
"Mergus merganser",2000,0.467,0.015,1093,1093,1093,5093,8
"Mergus serrator",2000,0.273,0.061,20,20,20,880,0
"Mimus polyglottos",2000,0.576,0.016,1605,1605,1605,5255,268
"Anas clypeata",2000,0.71,0.143,25,25,25,1088,0
"Mniotilta varia",2000,0.535,0.012,2737,2737,2737,5268,590
"Molothrus ater",2000,0.641,0.013,4171,4170.4,4170.4,5279,2334
"Myiarchus crinitus",2000,0.604,0.011,4142,4141.4,4141.4,5279,1851
"Myiopsitta monachus",2000,0.259,0.068,15,15,15,557,0
"Nyctanassa violacea",2000,0.192,0.036,29,29,29,379,0
"Nycticorax nycticorax",2000,0.327,0.023,211,211,211,3371,5
"Oporornis formosus",2000,0.291,0.088,11,11,11,1301,0
"Oporornis philadelphia",2000,0.493,0.013,1454,1454,1454,4716,0
"Oxyura jamaicensis",2000,0.474,0.112,18,18,18,1317,0
"Pandion haliaetus",2000,0.442,0.016,818,817.4,817.4,5261,48
"Anas crecca",2000,0.333,0.041,66,66,66,2731,0
"Parula americana",2000,0.414,0.019,513,513,513,4293,31
"Passer domesticus",2000,0.673,0.014,3897,3897,3897,5275,2066
"Passerculus sandwichensis",2000,0.523,0.011,3052,3052,3052,5279,753
"Passerina caerulea",2000,0.654,0.221,9,9,9,168,0
"Passerina cyanea",2000,0.592,0.011,4197,4197,4197.1,5279,2595
"Pelecanus erythrorhynchos",2000,NA,NA,1,1,NA,0,0
"Perdix perdix",2000,0.417,0.159,7,7,7,217,0
"Perisoreus canadensis",2000,0.302,0.029,114,114,114,1184,0
"Petrochelidon pyrrhonota",2000,0.501,0.015,1095,1095,1095,5223,0
"Phalacrocorax auritus",2000,0.38,0.029,175,175,175,2855,0
"Anas discors",2000,0.471,0.037,169,169,169,3396,0
"Phalaropus tricolor",2000,0.561,0.283,4,4,4,219,0
"Phasianus colchicus",2000,0.525,0.017,1060,1060,1060,5097,10
"Pheucticus ludovicianus",2000,0.628,0.012,4348,4348,4348,5279,2321
"Picoides arcticus",2000,0.289,0.026,127,127,127,1453,0
"Picoides dorsalis",2000,0.178,0.046,15,15,15,842,0
"Picoides pubescens",2000,0.734,0.014,4637,4637,4637,5279,2730
"Picoides villosus",2000,0.596,0.011,4058,4058,4058.1,5279,959
"Pipilo erythrophthalmus",2000,0.575,0.011,3288,3288,3288,5253,618
"Piranga olivacea",2000,0.614,0.011,4304,4304,4304,5279,1921
"Piranga rubra",2000,0.3,0.175,3,3,3,100,0
"Anas platyrhynchos",2000,0.577,0.011,3993,3993,3993,5279,1325
"Plegadis falcinellus",2000,0.328,0.054,38,38,38,370,0
"Podilymbus podiceps",2000,0.402,0.025,265,265,265,4773,0
"Poecile atricapillus",2000,1.487,0.057,5161,5161,5160.7,5279,3347
"Poecile hudsonicus",2000,0.271,0.024,138,136.7,136.7,1425,0
"Polioptila caerulea",2000,0.529,0.017,1030,1030,1030,4536,4
"Pooecetes gramineus",2000,0.539,0.023,561,561,561,4681,0
"Porzana carolina",2000,0.553,0.033,277,277,277,4661,0
"Progne subis",2000,0.495,0.021,577,577,577,4633,0
"Protonotaria citrea",2000,0.407,0.123,11,11,11,1061,0
"Quiscalus major",2000,0.255,0.042,38,38,38,297,0
"Anas platyrhynchos x A. rubripes",2000,0.328,0.036,84,84,84,3962,0
"Quiscalus quiscula",2000,0.889,0.02,4887,4886.4,4886.4,5279,3230
"Rallus elegans",2000,0.258,0.116,5,5,5,542,0
"Rallus limicola",2000,0.463,0.02,550,550,550,5233,0
"Rallus longirostris",2000,0.301,0.041,56,56,56,345,0
"Regulus calendula",2000,0.281,0.022,175,174.7,174.7,2523,0
"Regulus satrapa",2000,0.469,0.015,1091,1091,1091,5100,83
"Riparia riparia",2000,0.481,0.013,1412,1412,1412,5279,0
"Rynchops niger",2000,0.214,0.043,25,25,25,300,0
"Sayornis phoebe",2000,0.73,0.014,4623,4623,4623,5279,2963
"Scolopax minor",2000,0.463,0.011,1993,1993,1993,5279,0
"Accipiter gentilis",2000,0.47,0.025,350,350,350,4797,0
"Anas rubripes",2000,0.408,0.016,719,719,719,5154,3
"Seiurus aurocapilla",2000,0.708,0.014,4381,4381,4381,5279,2135
"Seiurus motacilla",2000,0.518,0.018,834,834,834,4553,0
"Seiurus noveboracensis",2000,0.489,0.015,1178,1178,1178,5086,0
"Setophaga ruticilla",2000,0.617,0.011,4360,4360,4360,5279,2146
"Sialia sialis",2000,0.544,0.01,3760,3760,3760,5279,1485
"Sitta canadensis",2000,0.553,0.013,2291,2291,2291,5279,274
"Sitta carolinensis",2000,0.612,0.011,4353,4353,4353,5279,2233
"Somateria mollissima",2000,NA,NA,2,2,NA,0,0
"Sphyrapicus varius",2000,0.633,0.013,3338,3338,3338,5080,817
"Spinus pinus",2000,0.465,0.023,415,414,414,4681,0
"Anas strepera",2000,0.244,0.023,115,115,115,2259,0
"Spinus tristis",2000,0.977,0.023,4958,4958,4958,5279,3218
"Spiza americana",2000,1.08,0.448,6,6,6,134,0
"Spizella pallida",2000,0.442,0.053,69,69,69,3152,0
"Spizella passerina",2000,0.86,0.018,4847,4847,4847,5279,3158
"Spizella pusilla",2000,0.512,0.01,3243,3243,3243,5273,855
"Stelgidopteryx serripennis",2000,0.491,0.012,1877,1877,1877,5269,27
"Sterna dougallii",2000,0.195,0.066,9,9,9,238,0
"Sterna forsteri",2000,0.233,0.074,10,10,10,342,0
"Sterna hirundo",2000,0.29,0.027,118,118,118,1529,0
"Sternula antillarum",2000,0.269,0.034,68,68,68,315,0
"Aquila chrysaetos",2000,0.429,0.144,9,9,9,902,0
"Streptopelia decaocto",2000,0.343,0.245,2,2,2,127,0
"Strix varia",2000,0.484,0.013,1518,1518,1518,5279,11
"Sturnella magna",2000,0.548,0.012,2608,2608,2608,5141,354
"Sturnella neglecta",2000,10.923,10.979,1,1,1,190,0
"Sturnus vulgaris",2000,0.755,0.015,4506,4506,4506,5279,2869
"Tachycineta bicolor",2000,0.823,0.017,4812,4811.4,4811.6,5279,3065
"Thryothorus ludovicianus",2000,0.557,0.017,1238,1238,1238,4676,249
"Toxostoma rufum",2000,0.516,0.011,2319,2319,2319,5279,189
"Tringa semipalmata",2000,0.353,0.042,75,75,75,297,0
"Troglodytes aedon",2000,0.662,0.013,4221,4221,4221,5279,2670
"Archilochus colubris",2000,0.603,0.011,4223,4223,4223.1,5279,1999
"Troglodytes troglodytes",2000,0.579,0.015,1791,1790.7,1790.7,5195,234
"Turdus migratorius",2000,1.68,0.08,5191,5191,5189.8,5279,3350
"Tyrannus tyrannus",2000,0.683,0.013,4421,4421,4421,5279,2566
"Tyrannus verticalis",2000,0.197,0.198,1,1,1,150,0
"Tyto alba",2000,0.556,0.112,27,27,27,718,0
"Vermivora chrysoptera",2000,0.466,0.029,270,270,270,4557,0
"Vermivora chrysoptera x V. pinus",2000,0.401,0.064,39,39,39,2626,0
"Vermivora peregrina",2000,0.708,0.134,28,28,28,1021,0
"Vermivora pinus",2000,0.53,0.012,2169,2169,2169,5037,33
"Vermivora pinus x V. chrysoptera",2000,0.541,0.05,118,118,118,3589,0
"Ardea alba",2000,0.339,0.033,111,111,111,1405,0
"Vermivora ruficapilla",2000,0.511,0.015,1368,1368,1368,4926,175
"Vireo flavifrons",2000,0.504,0.013,1554,1554,1554,5207,0
"Vireo gilvus",2000,0.532,0.01,3511,3510.4,3510.4,5257,1181
"Vireo griseus",2000,0.393,0.033,162,162,162,1414,0
"Vireo olivaceus",2000,1.208,0.036,5086,5086,5086,5279,3350
"Vireo philadelphicus",2000,0.329,0.039,71,71,71,1491,0
"Vireo solitarius",2000,0.58,0.013,2626,2626,2626,5197,319
"Wilsonia canadensis",2000,0.494,0.014,1292,1292,1292,5050,39
"Wilsonia citrina",2000,0.566,0.02,1031,1031,1031,3875,104
"Wilsonia pusilla",2000,0.367,0.261,2,2,2,190,0
"Ardea herodias",2000,0.554,0.01,3779,3779,3779,5197,911
"Zenaida macroura",2000,0.889,0.02,4760,4760,4760,5279,3117
"Zonotrichia albicollis",2000,0.619,0.016,1980,1979.7,1979.7,4853,380
"Asio flammeus",2000,0.328,0.067,24,24,24,1598,0
"Asio otus",2000,0.312,0.046,47,47,47,2866,0
"Aythya affinis",2000,8.122,5.774,2,2,2,343,0
"Aythya americana",2000,0.374,0.1,14,14,14,897,0
"Accipiter striatus",2000,0.463,0.012,1424,1424,1424,5163,0
"Aythya collaris",2000,0.315,0.032,97,97,97,1975,0
"Aythya valisineria",2000,NA,NA,1,1,NA,0,0
"Baeolophus bicolor",2000,0.662,0.014,3088,3088,3088,4998,1122
"Bartramia longicauda",2000,0.465,0.037,163,163,163,3319,0
"Bombycilla cedrorum",2000,1.017,0.025,4989,4989,4989,5279,3255
"Bonasa umbellus",2000,0.542,0.012,2558,2558,2558,5138,256
"Botaurus lentiginosus",2000,0.42,0.02,476,476,476,5151,0
"Branta canadensis",2000,0.561,0.01,3935,3934.4,3934.4,5279,1438
"Bubo virginianus",2000,0.501,0.013,1602,1602,1602,5279,0
"Bubulcus ibis",2000,0.213,0.082,7,7,7,382,0
"Actitis macularius",2000,0.46,0.011,1755,1755,1755,5279,2
"Bucephala clangula",2000,0.413,0.075,31,31,31,909,0
"Buteo jamaicensis",2000,0.572,0.011,3916,3916,3916,5279,1817
"Buteo lineatus",2000,0.445,0.015,858,858,858,5066,0
"Buteo platypterus",2000,0.506,0.012,1952,1952,1952,5279,102
"Butorides virescens",2000,0.512,0.012,2192,2192,2192,5273,65
"Caprimulgus carolinensis",2000,0.675,0.242,8,8,8,231,0
"Caprimulgus vociferus",2000,0.475,0.031,240,240,240,3338,0
"Cardinalis cardinalis",2000,0.702,0.015,3857,3857,3857,5279,1890
"Carpodacus mexicanus",2000,0.58,0.012,3383,3383,3383,5279,1198
"Carpodacus purpureus",2000,0.586,0.012,3144,3144,3144,5099,416
"Aegolius acadicus",2000,0.467,0.039,145,145,145,4236,0
"Cathartes aura",2000,0.56,0.011,3644,3644,3644,5279,723
"Catharus bicknelli",2000,0.345,0.046,57,56.7,56.7,1179,0
"Catharus fuscescens",2000,0.622,0.012,4126,4126,4126,5279,1768
"Catharus guttatus",2000,0.599,0.013,2709,2709,2709,5279,397
"Catharus ustulatus",2000,0.424,0.018,589,588.7,588.7,3933,30
"Certhia americana",2000,0.523,0.012,2127,2127,2127,5279,144
"Chaetura pelagica",2000,0.503,0.011,2626,2626,2626,5279,243
"Charadrius melodus",2000,0.279,0.034,75,75,75,315,0
"Charadrius vociferus",2000,0.579,0.011,3742,3742,3742,5279,1430
"Chlidonias leucopterus",2000,NA,NA,1,1,NA,0,0
"Agelaius phoeniceus",2000,0.952,0.022,4934,4932.8,4932.8,5279,3135
"Chlidonias niger",2000,0.315,0.048,44,44,44,1141,0
"Chordeiles minor",2000,0.266,0.023,138,138,138,4671,0
"Circus cyaneus",2000,0.465,0.016,908,908,908,5189,0
"Cistothorus palustris",2000,0.408,0.019,458,458,458,4911,0
"Cistothorus platensis",2000,0.308,0.037,72,72,72,2109,0
"Coccothraustes vespertinus",2000,0.368,0.02,357,357,357,3088,0
"Coccyzus americanus",2000,0.484,0.014,1319,1319,1319,5173,0
"Coccyzus erythropthalmus",2000,0.508,0.012,2019,2019,2019,5279,36
"Colaptes auratus",2000,0.83,0.018,4826,4825.4,4825.4,5279,3223
"Colinus virginianus",2000,0.425,0.036,173,173,173,2881,63
"Aix sponsa",2000,0.489,0.01,2765,2765,2765,5279,72
"Columba livia",2000,0.548,0.011,3706,3706,3706,5279,1612
"Contopus cooperi",2000,0.297,0.017,315,315,315,2141,0
